Id, Name, Grade_math, Grade_cs
19448,dk,33.6,-12
19449,mf,-14.9,11.9
19450,hh,-19.3,129.6
19451,mn,131.5,20.3
19452,eg,-17,-45.6
19453,db,-8.9,99.2
19454,bh,1.2,87
19455,cn,-12.2,-57.8
19456,cn,38.1,79.4
19457,gi,25.1,-31.1
19458,ic,45,79.8
19459,fa,57.2,47.9
19460,cj,204.2,292.4
19461,aj,0.2,58.5
19462,gk,1.4,39.7
19463,el,-48.1,27.2
19464,fg,88.5,216.6
19465,kb,5.6,52.6
19466,ai,33.5,62.1
19467,ai,-67.8,58
19468,bf,1.6,77.9
19469,le,-7,22.3
19470,ib,59,202.8
19471,jf,-6,-88.9
19472,hn,-14.9,7.6
19473,mi,93.9,43.6
19474,gl,-35.2,45.4
19475,ea,30.1,-170.8
19476,mc,6.4,89.2
19477,ek,157,75.2
19478,mn,133.1,277
19479,dc,-16.3,11.3
19480,de,36.6,85.5
19481,gl,-39.9,-132
19482,kh,230.2,-3.1
19483,dc,220.2,-13.5
19484,dd,17.7,15.4
19485,nl,-6.8,13.2
19486,ca,106.9,-113.3
19487,ce,-33.2,7.9
19488,fl,57.2,50.8
19489,kn,3.4,87.3
19490,cm,-67.3,-114.4
19491,hg,160.7,139.2
19492,fc,50,155.3
19493,jd,2.2,93.2
19494,gn,105.1,37.2
19495,hn,4.1,50
19496,fd,115.5,-99.4
19497,aa,-9.1,45.8
19498,me,-6.4,98.3
19499,cc,-23.6,18.5
19500,nm,172.8,51.6
19501,nh,71.2,131
19502,jm,117.3,57.4
19503,gh,284.6,75
19504,cf,88.7,23
19505,bf,8.9,181.3
19506,jl,119.8,-6
19507,be,-20,68.3
19508,nj,15.9,2
19509,mn,-2.5,12.1
19510,ah,-57.2,82.4
19511,ji,-97.5,31.7
19512,ge,83,-31.2
19513,ie,243.4,95.8
19514,nk,152.1,-56.2
19515,jn,-36,-237.1
19516,nn,0.7,81.3
19517,dl,-35.1,-153.8
19518,dn,-40.6,66.7
19519,ee,18.3,5.3
19520,ll,90.6,301.5
19521,lj,2.6,-7.4
19522,in,68.5,14.4
19523,dm,84.3,35.8
19524,lh,63.2,308.1
19525,gg,48.2,-30.3
19526,fc,-111.4,56.8
19527,me,159.7,128.8
19528,kk,161.6,142.3
19529,ln,1.6,95.9
19530,jn,143.9,71.4
19531,ae,197.5,96.8
19532,hj,-60.3,-142.2
19533,ai,-5.6,-89
19534,ln,6.5,40.6
19535,da,100.7,-54.9
19536,ik,154.7,130
19537,lk,17.2,48.6
19538,mm,111,-25.3
19539,ad,-12.3,-123.4
19540,kh,57.2,2.5
19541,dh,34.3,114.6
19542,la,-219.3,26.1
19543,db,-37.7,47.2
19544,ek,28.4,86.1
19545,ig,17.4,74.6
19546,hg,-22.8,8.5
19547,em,5,-142.7
19548,lf,-15.6,58.2
19549,ef,12.3,75.9
19550,kh,126.6,293.8
19551,dd,-44.9,75.4
19552,gm,4.5,98.1
19553,cf,113.2,61.9
19554,dk,-43.9,47.7
19555,mc,-31.9,41.2
19556,jb,73.6,16.2
19557,ng,122.6,36.3
19558,la,16.9,7.7
19559,dn,-64.2,97.2
19560,eg,-206.5,69.8
19561,lm,127.2,14.1
19562,ne,70.6,70.1
19563,ac,-15.6,55.5
19564,hd,-6,219.3
19565,eg,30,60.7
19566,ff,-1.3,-36.3
19567,kc,-17.8,124.7
19568,ah,88,60.2
19569,la,1.1,6.4
19570,bg,39.5,157.5
19571,nm,-36.6,89.4
19572,ab,68.7,-74.2
19573,jd,135.6,-131.1
19574,ki,-37.9,12
19575,bf,95,73.7
19576,fd,-65.3,90.5
19577,kf,27.2,39.3
19578,fe,-22.9,98.7
19579,fj,26,30.5
19580,mg,-2.2,-32.6
19581,lc,18.9,62.4
19582,kb,112.2,78.2
19583,eh,-72.1,32.4
19584,nd,18.5,-2.1
19585,bn,3.6,54.6
19586,kd,166.2,101.2
19587,ja,-42.9,68.7
19588,ga,-0.8,-36.8
19589,cc,49.6,-35.4
19590,kf,-37.6,33.9
19591,ie,4.2,210.5
19592,em,197.1,64.9
19593,mh,142.4,53.1
19594,gi,12.5,-60.9
19595,fd,-5.2,29.7
19596,mc,13,50
19597,kg,-113.7,-93.3
19598,ff,61.3,-162.7
19599,dn,12.9,-47.3
19600,ia,31.9,40.8
19601,cm,-5,6.9
19602,cj,17.2,18.8
19603,fc,-36.8,-120.1
19604,dc,-26.4,-147.7
19605,ak,3.3,57.4
19606,fd,-4.3,5.6
19607,cg,131,155
19608,mn,40.2,69.6
19609,gf,81.5,43.5
19610,id,6.3,0.5
19611,lm,-11.5,-29.5
19612,mf,163.4,150.6
19613,if,-127.6,-49.3
19614,hk,-66.1,21.7
19615,ag,54.3,196.7
19616,ml,107,84.7
19617,cc,104.8,37.4
19618,nl,117.6,22.7
19619,nl,-3.7,200.7
19620,ne,117.6,123.2
19621,ac,63.4,90.7
19622,ab,-47.4,73.8
19623,jf,80,97.9
19624,lg,-132.1,89.7
19625,ll,20.5,10.6
19626,nm,12.6,74.4
19627,ei,-8.7,38.5
19628,aa,157.8,14.8
19629,kn,240.3,86
19630,ed,174.2,57.3
19631,cf,-7.1,19.3
19632,gj,1.6,92.6
19633,ej,-87.5,94.9
19634,cm,-3.2,70.7
19635,la,112.9,8.4
19636,je,-145.3,311.6
19637,nc,-15.9,87.6
19638,ad,-81.7,-75.6
19639,hm,170.6,115.5
19640,nc,74.5,30.9
19641,hc,75.3,83.6
19642,dm,66.8,54.2
19643,be,93.4,69.5
19644,hd,25.7,-14.6
19645,jb,32,88.4
19646,li,19.9,23.8
19647,kj,34.6,51.8
19648,di,-18.7,48.9
19649,bk,148.4,271.5
19650,ka,92.3,42.6
19651,ch,-6.3,-104.3
19652,ba,-10.1,231.1
19653,ab,124.3,24.9
19654,ml,21.4,91.6
19655,ii,0.1,55.7
19656,ig,1.2,-69.8
19657,aj,211.9,256.8
19658,ef,-11.2,12.8
19659,eh,-156.1,67.5
19660,kj,-96.4,90.8
19661,fh,-37.4,49.9
19662,jk,-103.3,55.2
19663,df,21.5,23.1
19664,ci,14.7,75.3
19665,fm,354.6,-42.6
19666,hh,41.8,-63.2
19667,cn,-6.4,21.9
19668,nc,12,27.1
19669,hh,-28,54.8
19670,gf,7.3,38.4
19671,gn,17.9,108.6
19672,mn,-22.2,30.4
19673,mi,42,11.8
19674,hc,38.9,67.4
19675,fc,99.2,-88.9
19676,ac,-31.3,70
19677,dj,10,68
19678,db,-25.3,4.5
19679,ni,8.8,35.3
19680,ic,77.6,-38.3
19681,dc,6.9,84.2
19682,kl,-55.9,18.9
19683,bd,-5,69.7
19684,fi,0.4,34.5
19685,jk,-33.3,-17.8
19686,ef,-38,7
19687,gl,-18.9,78.5
19688,ig,3.1,158.1
19689,hj,125.9,30.7
19690,he,-122.1,186.8
19691,ff,24.2,146.4
19692,lj,18.8,44.7
19693,ai,-1.7,9.5
19694,cj,-55.3,6.5
19695,ag,5.7,86.1
19696,nj,-39.2,109.8
19697,de,0.9,36.2
19698,im,-53.7,84.5
19699,al,-16.1,16.9
19700,nm,-3.7,77.9
19701,hb,-90.1,51.5
19702,ni,127.8,103.8
19703,jf,-62.9,106.4
19704,bi,117.8,78.8
19705,ha,-289.1,42.7
19706,cm,117.8,-58.7
19707,ch,291.6,91.3
19708,bc,-19.1,99.4
19709,ae,-10.9,51
19710,kb,21,46.9
19711,jg,19.9,90.1
19712,kc,191.8,82.8
19713,dc,224.3,9.8
19714,ai,-19.5,91.1
19715,am,2,-208.7
19716,ea,232.7,115.1
19717,nl,27.2,42.4
19718,km,-38.2,-21.5
19719,dl,174.5,311.2
19720,ad,-8.6,20.8
19721,mg,-134.5,66.8
19722,hj,78.6,90.6
19723,hj,-19.8,49
19724,la,-8.1,107.4
19725,nb,-74.1,53.9
19726,bh,90.5,240.3
19727,fc,61.3,165.8
19728,bl,8.9,-45.2
19729,mg,-53.7,304.9
19730,ia,231,173.7
19731,dd,-11,1.8
19732,jf,192.9,40.5
19733,cl,123.6,209.2
19734,lf,49.3,9.4
19735,cm,20.5,12.3
19736,jl,-5.8,2.8
19737,ag,-4,41
19738,ii,-108.2,52.6
19739,hm,-38.5,-99.3
19740,gh,-22.4,42.5
19741,gl,-48.2,-82
19742,me,29,270.9
19743,nf,2.4,-24.7
19744,dg,129.6,77.7
19745,gm,38.1,-76.2
19746,da,241.2,154.4
19747,nm,-7,8.5
19748,jl,-27.9,55.4
19749,hk,45,136.4
19750,ck,-10.4,-15.1
19751,ik,-68.2,141.2
19752,mn,47.2,71
19753,fj,-3.9,61.9
19754,la,4.7,-45.4
19755,gl,97.5,227.9
19756,la,15,-18.4
19757,mg,11,90
19758,hb,-14.7,-70.4
19759,cg,162.4,-20.7
19760,ej,-20.1,67.9
19761,jc,-132.2,15.5
19762,ch,197.5,234.6
19763,ni,-9.3,75.2
19764,ch,-56.5,46.1
19765,cb,153.4,54.9
19766,le,-3,10.6
19767,la,-99.3,2.5
19768,hi,132.8,175.4
19769,jl,173.4,-63.9
19770,eb,-37.8,47.4
19771,fi,257.6,243.8
19772,hb,50.1,28.8
19773,fk,-65.6,78.6
19774,dj,-89.7,5
19775,ei,66.9,41.3
19776,hg,-10.6,-15.5
19777,dk,125.9,31.3
19778,em,16.1,26.4
19779,mn,84.4,257.9
19780,dc,63.4,-2.6
19781,dc,41.3,-108.7
19782,dn,20.9,-91.3
19783,lg,-140.4,62.6
19784,nb,280.3,128.6
19785,nm,23.5,96.4
19786,eb,23.9,108
19787,eh,179.4,148.8
19788,hh,20.2,54.4
19789,nc,-64.3,259.8
19790,gm,-0.3,138.2
19791,jn,-7.6,-52.3
19792,ah,-8.8,36.9
19793,cf,124.8,195.5
19794,cb,-80,16.5
19795,mf,208.1,226.7
19796,fc,-7.4,-103.8
19797,lg,-35.3,36.7
19798,el,1.7,43.1
19799,mj,-1.5,10.2
19800,cg,-96.8,77.2
19801,ee,7.8,53.5
19802,lb,-75.3,32.7
19803,ik,-8.5,71.6
19804,nk,158,107.9
19805,aa,123.8,92.4
19806,lc,103,80.3
19807,nh,0,-13.8
19808,gi,0.7,57.6
19809,jc,67.7,77.2
19810,bi,30.2,5.6
19811,nl,7,55.3
19812,jc,146.2,68.5
19813,kd,0.8,90.3
19814,hh,19,41.7
19815,bi,135.3,106.6
19816,kj,-3.3,89.1
19817,il,16.2,49.8
19818,ah,7.4,61.5
19819,ma,95.1,30.9
19820,ib,-0.5,22.4
19821,hb,-34,4.6
19822,ia,-60,86.5
19823,im,71.9,56.5
19824,ce,-14.2,31.2
19825,ab,-20.6,63.6
19826,ld,139.6,85.9
19827,kc,-3.8,19.5
19828,jd,-73.7,54.6
19829,ab,80.9,77.6
19830,da,168.1,213.1
19831,ma,149.1,41.5
19832,cm,-31,17.8
19833,kn,84.9,168.4
19834,bh,51.8,53.1
19835,if,-40.3,41.9
19836,eg,277.2,80.8
19837,bj,-82.2,-47.6
19838,jb,-9.2,25.8
19839,bk,-17,42
19840,lm,17,18.6
19841,jj,-151.6,29.6
19842,fc,67.6,45.4
19843,nk,21.6,-40.9
19844,db,-12.2,86.1
19845,hh,-7,10.4
19846,nb,-76.7,45.5
19847,ba,7.9,28.2
19848,aj,8.2,8
19849,lg,-68.3,-47
19850,mm,31.8,118.6
19851,fk,269.4,-25.6
19852,md,-62.6,-116.7
19853,dm,2.5,79.7
19854,ge,3.8,-2
19855,eb,-1.8,-49.8
19856,af,-54.6,86.5
19857,db,50.2,-5.3
19858,eg,65,99.5
19859,lf,117.6,96.2
19860,kb,-40.3,-12.8
19861,jm,138.5,71.5
19862,nf,123.1,229.8
19863,gg,45.8,19.9
19864,le,-93.2,-187.6
19865,bc,110.4,42.4
19866,jd,-7.2,85.4
19867,ml,232,19.5
19868,am,101.9,135.5
19869,kf,122,-119.3
19870,bd,-78.3,-92.9
19871,hc,5.2,-57.6
19872,ik,9.5,-44.3
19873,bd,-1.9,-141
19874,ng,30.7,97.1
19875,kh,13.2,79.2
19876,ef,171.5,-25.2
19877,mi,-3.1,107.5
19878,cb,178,84.1
19879,ml,57,6.2
19880,mf,104.1,-85.2
19881,kc,-144.7,12.6
19882,de,10.7,192.6
19883,hd,-23.7,11.8
19884,gc,23.5,35.9
19885,de,20.9,-40.8
19886,cm,-50.8,6.3
19887,ei,14.1,12.6
19888,bh,48,24
19889,ab,-48.2,-157.6
19890,ka,53.5,-6.7
19891,df,-24.4,102.8
19892,ch,-22.3,81
19893,ii,-1.6,97.9
19894,fb,91.3,-74.5
19895,ab,95.1,-13.3
19896,kc,10.1,16.8
19897,ld,-71.1,-21.7
19898,ia,-73.1,-157.4
19899,he,21,44.8
19900,cb,-7.9,3.7
19901,dd,-1.7,14.2
19902,ha,76.9,112.3
19903,hi,204.8,19.4
19904,di,43.3,79.2
19905,cd,16.2,-75.4
19906,di,4.1,37.6
19907,il,65.1,22.5
19908,cm,8.9,90.7
19909,dn,4.6,38
19910,al,9.4,-159.5
19911,ge,3.9,39.8
19912,db,-111.4,9.8
19913,gc,330.5,292.7
19914,il,13.1,94.4
19915,ab,89.2,-53.5
19916,ke,33.3,17.5
19917,ba,66.7,127.4
19918,ad,275.5,232.5
19919,en,-7.1,3.2
19920,bj,-53.2,192.8
19921,fb,-18.4,67.1
19922,ek,14.3,29.4
19923,ka,-4.5,297
19924,gj,-126.1,-63.3
19925,gd,-45.6,45
19926,fb,152.4,61.2
19927,bm,-28.3,244.6
19928,kl,64.8,-41.3
19929,di,-49.3,21.7
19930,eg,-47.5,60.6
19931,gd,-25.9,95.4
19932,ka,84.4,83.5
19933,ig,16.7,3.2
19934,ah,16.5,95.7
19935,lj,-65.6,-6.9
19936,ak,177.1,148.7
19937,ll,61.2,-186.4
19938,gg,6.4,87.7
19939,hj,36.8,60.6
19940,em,5.6,75.3
19941,le,17.8,77
19942,ji,11.7,23.8
19943,hh,33.9,26.4
19944,ln,70.3,131.1
19945,bb,71.3,-43.1
19946,ng,-46.6,43
19947,nb,5.3,107.8
19948,cj,66.9,87.1
19949,cf,4.7,67.8
19950,ge,12.6,57.6
19951,dn,11.7,-228.6
19952,eb,77,55.8
19953,gl,-3.9,-85.6
19954,bc,62.2,108.5
19955,nh,36.1,-60.3
19956,cb,186.3,164.9
19957,ea,-20.4,228
19958,ll,-137.4,82.2
19959,li,41.9,74.8
19960,la,-107.5,140.4
19961,df,36.6,51.5
19962,gh,-20.6,-74.5
19963,dk,-1.7,34.9
19964,hj,0.7,-144.3
19965,gc,0.4,95.6
19966,mf,67,22.1
19967,bk,153.2,164.7
19968,mj,44.9,56.7
19969,nc,-0.8,32.8
19970,nl,2,70.2
19971,nb,-26.2,34.5
19972,nn,72.7,1.1
19973,fe,123.1,2.4
19974,ga,-39.2,33.7
19975,cn,71.8,10.1
19976,bf,-2.1,98.6
19977,ik,74.2,58.9
19978,ak,-111.4,48.2
19979,ci,183.6,86.7
19980,gn,203.9,-4.6
19981,ej,39.6,79.6
19982,if,16.5,44.6
19983,gf,-73,83.5
19984,lc,-59.6,49.7
19985,eb,-68.9,5.9
19986,gb,-47.8,86.5
19987,gj,-1.5,3.7
19988,ia,-143.9,-242.7
19989,mm,29.6,160.5
19990,ig,-150.5,-84.8
19991,ig,99.3,150.3
19992,db,2.9,64.9
19993,da,72.4,92.6
19994,dl,265.3,320.9
19995,jb,81.9,-12.8
19996,kg,2.3,13.4
19997,bb,23,176.9
19998,jj,14.6,42.3
19999,mn,-145.4,20.6
20000,fc,-35.7,-41.3
20001,cg,-2,-3.6
20002,ig,29.4,12
20003,he,9.3,-81.7
20004,mi,12.3,34.2
20005,ai,205.9,-86.5
20006,jn,-114.1,-36
20007,hn,20.7,96.3
20008,mi,50.7,-43.1
20009,hb,-32.3,87.9
20010,lg,268,66.5
20011,ce,19.1,89.7
20012,ed,-33.2,46.2
20013,hi,31.2,76.9
20014,cb,-35.5,44.9
20015,li,38.1,15.1
20016,hi,-109.3,16.6
20017,gg,142.4,228.9
20018,hj,55.1,4.1
20019,hb,48.4,114.5
20020,kh,111,189.9
20021,hl,125.3,32.1
20022,gg,6.6,81.2
20023,fb,-18.5,-221.8
20024,am,93.1,177.6
20025,fl,-166.8,30.4
20026,ij,119.4,127.7
20027,jh,136.1,117
20028,ja,-25.7,57.4
20029,ma,4.6,-157.2
20030,al,37.9,181.8
20031,md,-35.7,-25.3
20032,de,-104.3,175.6
20033,ff,32.9,79.9
20034,ea,-37,-34.6
20035,fi,18.3,-171.4
20036,nk,58.8,139.6
20037,cc,79.5,254.7
20038,mc,201.5,122.2
20039,hf,68.3,19.8
20040,bi,95.3,101.6
20041,ea,-83.6,83.6
20042,dj,94,35.7
20043,nb,-10.8,51.9
20044,km,-7.7,47.4
20045,fk,110.8,54.6
20046,ba,0.1,104.9
20047,li,9.6,56.3
20048,kl,86.4,155.1
20049,jc,-82.6,89.5
20050,ae,-20.7,54.7
20051,eg,79.6,17.1
20052,dd,-32.5,68.1
20053,nl,107,-149.7
20054,jb,320.3,149.2
20055,ie,-11.6,-23.1
20056,hn,69.6,-12.1
20057,dg,322.5,37.1
20058,jk,198.9,-19
20059,lm,39.9,79.4
20060,ig,106.4,-56.4
20061,ck,145,169.1
20062,gh,56.6,-126.5
20063,bd,34,55.9
20064,km,134,235.7
20065,ma,8.2,49.6
20066,fj,153.7,23.6
20067,ia,98,40.3
20068,ck,54.2,262
20069,hd,102.4,12.6
20070,jh,-5.7,-29.8
20071,hk,-31.3,26.5
20072,hm,92.9,-4.5
20073,mk,51.9,-87.3
20074,ja,-24.8,95.5
20075,ae,-103.3,107.4
20076,em,9.1,80
20077,ge,22.4,-74.8
20078,jh,143.3,34.4
20079,nh,-36.4,92.2
20080,kh,136.1,-36.1
20081,gh,-65.9,223.7
20082,nh,11.7,25.8
20083,dc,202.9,57.5
20084,cb,127.9,104
20085,kh,252.4,24.5
20086,jd,59.5,-0.9
20087,lm,66.2,61.3
20088,fc,2.9,63.9
20089,an,1.5,78.2
20090,ae,0.9,-62.1
20091,lb,-60.2,80.9
20092,cg,75.8,15.3
20093,jl,-34.7,-12.1
20094,ak,-46.4,95.8
20095,dd,17.5,96.3
20096,lg,-38.1,85.9
20097,kk,-93.8,-37.1
20098,gc,-55.7,143
20099,ai,-0.6,91.3
20100,ml,-73.2,260.6
20101,dg,-3.5,-24.9
20102,ge,-32.7,51.9
20103,dk,-86.4,113.5
20104,mf,0.5,5.6
20105,jd,5.5,76.7
20106,jl,-43.8,16.9
20107,nm,-105.1,33.3
20108,fl,-7.6,18.7
20109,ia,116.5,78.1
20110,de,107.7,33
20111,kj,-36.6,5.4
20112,ln,11.3,106.9
20113,ic,-8.4,38.9
20114,na,-87.4,17.5
20115,jd,268.6,19.9
20116,cm,-2.5,48
20117,cf,-31.5,76.4
20118,ae,-61.5,41.5
20119,bc,-67,-93.8
20120,ln,0.3,39.9
20121,aj,72.6,12.4
20122,ge,-1.2,28
20123,mn,42.8,14.6
20124,gi,23.4,89.8
20125,lh,-25.9,-2.3
20126,ca,0,141.5
20127,cd,16.9,66.9
20128,ek,207.3,15.7
20129,gh,44.2,19.6
20130,jm,6,49.5
20131,hm,12.6,166.4
20132,fc,-34.2,85
20133,hj,-25.5,1.6
20134,hi,40.6,97.4
20135,jm,131.1,166.6
20136,ng,-2.2,91.6
20137,hm,-122.6,70.8
20138,ia,-98.9,61.1
20139,ie,17.8,-23.8
20140,ba,107.3,82.2
20141,em,72.8,-49.3
20142,cf,-71.9,37.1
20143,db,142.3,29.4
20144,ha,-76.8,113.8
20145,kd,-97.4,30.2
20146,be,0.2,80.6
20147,hj,164.8,110.9
20148,ac,43.7,53.3
20149,hh,192.2,204.4
20150,dh,-14.6,-72.9
20151,lg,-47.8,9.6
20152,bf,109.1,56.3
20153,dk,-19.4,42.2
20154,ig,-19.7,31
20155,an,-7.4,60.9
20156,fc,79.9,28
20157,ch,31.9,-61.5
20158,hh,37.9,105.8
20159,gb,-17.5,-80.1
20160,le,-88.3,44.6
20161,nl,140.7,177.2
20162,ij,2.3,92.2
20163,nl,-82.4,-14
20164,jn,-8.2,-171.8
20165,ke,73.6,19.7
20166,gc,-30.7,6.4
20167,hi,211.5,-12.7
20168,bn,23.1,3.2
20169,kk,-126.5,63.8
20170,fa,175.8,131.4
20171,ef,12.8,31.4
20172,aj,2.8,64.5
20173,kd,89.1,23.1
20174,fn,-86.4,96.8
20175,bi,6.5,37.7
20176,di,-8.5,58.9
20177,dm,-79.8,172.6
20178,ei,-25.4,46.2
20179,fb,-83.4,-40
20180,ga,69.4,164.4
20181,ga,-18,83
20182,ej,-12.5,-50
20183,he,-11.7,32
20184,kl,-63.4,69.9
20185,am,-47.7,127.6
20186,ab,-6.5,61.1
20187,bh,12.4,167.2
20188,hf,-26.3,53
20189,bk,-120.9,57.2
20190,bj,-127.7,-0.5
20191,fk,49.8,124.8
20192,in,0,5.5
20193,ad,212.9,236.4
20194,kg,98.1,49.1
20195,ge,97.5,3.5
20196,fm,192.7,285.9
20197,cg,218.1,41.7
20198,ck,-8.7,154.2
20199,nk,142.1,46.1
20200,bn,189.7,-33.4
20201,di,46,232.5
20202,de,88.5,60.7
20203,kh,-103.6,-154.1
20204,kn,69.4,58.1
20205,mk,-16.3,57.4
20206,fm,-13.5,80.4
20207,bm,64.6,109.4
20208,ff,1.3,4.9
20209,ii,0.6,-208.8
20210,jc,166,16.4
20211,gj,-24.7,-150.2
20212,jm,-60.1,56.9
20213,mm,126.9,101.7
20214,ck,81.5,163.5
20215,gc,2.8,98.4
20216,fk,-60.2,29.7
20217,nh,56,-178.1
20218,gj,-42,78.9
20219,gl,-3.9,-133.8
20220,le,-1.6,3.8
20221,hc,-16.8,49.8
20222,fd,-13.2,97.7
20223,lg,43.2,37.6
20224,ja,-3.7,22.8
20225,cd,84.4,187.2
20226,da,-37.4,71.9
20227,hm,15.5,0.3
20228,hj,-28.8,45.1
20229,ci,192.4,123.3
20230,cd,-1.3,-137.7
20231,cc,101.9,-17.6
20232,kj,-9.1,9.2
20233,am,-32.6,147.8
20234,kh,102.6,231.2
20235,ek,-1.9,61.2
20236,bl,-24.6,72.9
20237,km,-130.6,93.8
20238,mg,4.4,134.5
20239,dh,153.2,81.9
20240,cd,-36.3,-4.3
20241,eg,300.6,81
20242,il,14,53.5
20243,ed,-6.1,26.4
20244,ln,39.3,84.6
20245,nj,38.2,-186.9
20246,mc,84.4,-34.4
20247,fb,-27,19.6
20248,cm,4.5,37.6
20249,de,-31.2,28.6
20250,hl,-99.5,103
20251,ah,-27.7,181.4
20252,fi,-42.5,39.3
20253,bh,121.1,203.6
20254,hn,66.8,196.8
20255,kg,47.6,145.9
20256,ke,47.6,219.1
20257,bd,66.4,-71.2
20258,la,168.4,117.5
20259,in,16.7,-70.9
20260,ae,6,93
20261,bd,57.1,154
20262,nf,234,76.9
20263,ll,38.6,36.9
20264,bl,14.6,-176.2
20265,hj,-3.4,9.7
20266,ed,-48.6,-54.5
20267,gn,147.1,185.6
20268,ml,1.4,-65.4
20269,ed,22,-203.5
20270,hh,-21.5,84
20271,ii,91.6,50.8
20272,me,-33.7,1.2
20273,fm,87,229
20274,ed,3.2,60.1
20275,df,20.2,50.8
20276,hm,-17.8,6.4
20277,ii,-1.7,48
20278,le,13.4,-12.4
20279,lk,-13.2,92.7
20280,fn,-18.6,67.6
20281,ae,-76.6,-63.2
20282,ah,-3.2,11.6
20283,ih,124.7,78.5
20284,hn,59.5,-1
20285,nb,10.6,17.2
20286,bc,23.1,30.9
20287,kl,-133.8,26.2
20288,nk,-20.1,26.4
20289,kh,-133.4,38.2
20290,hg,121.4,113.9
20291,cc,4.1,6.2
20292,hi,-10.5,-126.8
20293,gf,114.4,-80.4
20294,ci,227.9,4.3
20295,gi,-118.3,77.6
20296,ca,-3.9,10
20297,ne,41.9,-15.3
20298,ff,14,93.1
20299,dj,-48.3,52.8
20300,hl,147,238.1
20301,cd,3,39.7
20302,eb,116.1,61.6
20303,dm,10.1,85.3
20304,lf,-102.9,-196.2
20305,nm,2.2,12.9
20306,ea,-50.4,53.8
20307,ad,-46.2,129.1
20308,ij,-16.9,76.2
20309,lb,-80.4,2.8
20310,in,-1.4,-69.8
20311,an,39.2,139.7
20312,hh,12.4,37.9
20313,dl,-6.8,-171.4
20314,nb,7.5,46.3
20315,bf,6.8,-72.6
20316,ck,11.4,-13.9
20317,fj,125.2,51.6
20318,mk,56.8,79.3
20319,la,186,-92.4
20320,ib,-24,60.4
20321,mh,51.3,9.6
20322,hk,205.6,-71
20323,fb,-61.1,112.9
20324,ng,-51.3,32.4
20325,la,-18.9,20
20326,hb,-6.5,98.9
20327,gh,-20.8,-53.9
20328,gc,69,32
20329,cc,1.9,38.6
20330,de,57.4,-123
20331,fi,192.9,162.7
20332,em,2.3,85.5
20333,jm,202.8,-58.4
20334,bc,8.1,-61.7
20335,ai,-130.1,78
20336,eg,-57,49.7
20337,fn,-24.7,13.2
20338,mg,12.7,30.4
20339,he,128.6,4.4
20340,an,102,91.5
20341,nc,-45,155.8
20342,dl,-70.9,31.3
20343,hh,113.9,17.3
20344,ef,-38.5,7.4
20345,ij,12.7,-114.9
20346,ad,-21.9,93.9
20347,hl,61.5,35.2
20348,nc,24.8,39.1
20349,ie,17.5,71
20350,je,-88.7,264.3
20351,di,-36.1,5.3
20352,ha,-117.9,36.2
20353,eh,-157.3,71.7
20354,ae,-42.4,41.4
20355,dc,0.1,68.8
20356,cg,-53.1,79.2
20357,hm,66.9,-29.7
20358,ki,1.9,86.1
20359,ae,2.1,-3.1
20360,nf,142.6,81.4
20361,hc,63.6,9.9
20362,fi,50.1,-25.2
20363,ec,9.2,-22.9
20364,ie,75.3,63.4
20365,bl,-63.7,18.9
20366,cd,89.6,38.5
20367,ha,143.1,187.8
20368,hl,-91.6,79.5
20369,ed,-140,71.8
20370,fi,-53.9,23.2
20371,na,-18.4,83
20372,fh,73.5,92.6
20373,aa,7,-7.4
20374,ic,34.7,96.7
20375,cf,15.9,35.5
20376,ck,187,181.9
20377,nc,10.4,43.5
20378,hd,-104.6,95.1
20379,mk,-3.1,76.8
20380,dh,2.4,80.4
20381,mk,140.7,220.8
20382,mj,64,38.6
20383,hl,4.1,7
20384,cj,245.6,131.6
20385,kf,-11.4,29.8
20386,nm,1.7,98
20387,hf,-8.8,53.4
20388,dm,255.9,163.2
20389,lf,0.6,78.6
20390,gd,23.1,-64
20391,ma,17.9,-9.6
20392,kk,14,22.7
20393,ei,22.9,-4.8
20394,nk,125.9,221.7
20395,gc,9.7,73
20396,nb,1.4,2.7
20397,fh,-1.8,8.7
20398,de,126.4,73.4
20399,ad,8.1,-122.9
20400,gk,-25.2,-28.2
20401,nk,-168.2,66.1
20402,bg,-28.4,31.9
20403,mn,137.4,100.1
20404,ae,3.9,72.9
20405,kk,206,249.4
20406,ie,-12.4,187.9
20407,jj,-8,35.8
20408,ja,-47.4,76.1
20409,fl,-25.8,64.8
20410,gk,75.1,-149.9
20411,en,26.8,111.4
20412,fa,155.4,40.6
20413,aj,5.2,67.3
20414,ci,5.6,-33.4
20415,id,-93.7,102.6
20416,kk,0.3,26.8
20417,fj,-0.7,-86.2
20418,mb,-55.9,80.3
20419,al,9.8,85.3
20420,mf,66.1,-18.5
20421,lc,-52.5,-87.6
20422,nf,36,99.7
20423,cl,245.7,-40.5
20424,al,-24.7,96.3
20425,mh,117.9,-2.8
20426,nm,71,57.8
20427,ed,9.5,56
20428,jh,24.7,44.6
20429,ce,-6.2,-101.1
20430,ln,-3.4,98.4
20431,ha,-1.4,-4.6
20432,hl,18.2,119
20433,fg,20.7,6.4
20434,nh,145.1,25.7
20435,id,-8.4,27.6
20436,na,291.5,61.1
20437,ci,14.4,1.1
20438,dj,82.7,167.5
